class,class_name,feature_raw,feature_base,feature_desc,weight
2,Moderate,PHQ4 <= 0.33,PHQ4,Fatigue or Low Energy,0.18509312272234188
2,Moderate,PHQ7 <= 0.33,PHQ7,Difficulty Concentrating,0.16523442888982956
2,Moderate,PHQ6 <= 0.33,PHQ6,Feelings of Worthlessness,0.14281963847326448
2,Moderate,0.33 < PHQ9 <= 0.67,PHQ9,Suicidal Thoughts,-0.06938288296258978
2,Moderate,0.33 < PHQ5 <= 0.67,PHQ5,Appetite or Weight Changes,-0.047900869034087995
2,Moderate,0.33 < PHQ2 <= 0.67,PHQ2,Low Mood or Hopelessness,-0.03926065824893266
2,Moderate,0.50 < PSS5 <= 0.75,PSS5,Problem-Solving Self-Efficacy,-0.016030422100433397
2,Moderate,PSS1 <= 0.50,PSS1,Emotional Response to Setbacks,-0.015497395914651426
2,Moderate,PSS10 <= 0.50,PSS10,Sense of Academic Helplessness,-0.011351866198541649
2,Moderate,0.50 < PSS4 <= 0.75,PSS4,Confidence in Coping Abilities,-0.007260833442362622
