class,class_name,feature_raw,feature_base,feature_desc,weight
4,Severe,0.67 < PHQ7 <= 1.00,PHQ7,Difficulty Concentrating,-0.13977332297988088
4,Severe,0.67 < PHQ4 <= 1.00,PHQ4,Fatigue or Low Energy,-0.1328223438429449
4,Severe,0.67 < PHQ2 <= 1.00,PHQ2,Low Mood or Hopelessness,-0.12522868094426362
4,Severe,PHQ9 > 0.67,PHQ9,Suicidal Thoughts,-0.11607261363721198
4,Severe,0.67 < PHQ6 <= 1.00,PHQ6,Feelings of Worthlessness,-0.10868665190443258
4,Severe,PHQ5 > 0.67,PHQ5,Appetite or Weight Changes,-0.10616963822897461
4,Severe,PSS2 <= 0.50,PSS2,Sense of Control Over Academics,0.02114754242667485
4,Severe,PSS1 > 0.75,PSS1,Emotional Response to Setbacks,0.01288999863559775
4,Severe,PSS4 > 0.75,PSS4,Confidence in Coping Abilities,-0.012873173245548297
4,Severe,0.75 < PSS3 <= 1.00,PSS3,Overall Academic Stress Level,0.0059673043956068724
